id,Domisili,Apakah Anda Mahasiswa / Fresh Graduate,Pekerjaan & Instansi Saat Ini,Tools yang Ingin Dipelajari,Target Join Komunitas,Tau Seara Data Dari Mana?,Provinsi,Cari Kerja
484,Banjarmasin,Ya,-,"SQL, Python, Power BI","Cari Kerja, Upskill",LinkedIn,Kalimantan Selatan,1
485,Jakarta Pusat,Ya,Universitas Terbuka ,"Excel, SQL, Python, Power BI, Tableau","Cari Kerja, Upskill, Networking",LinkedIn,Jakarta,1
486,Jogja,Ya,-,"SQL, Python, Power BI, Tableau","Upskill, Networking",Teman,DI Yogyakarta,0
487,Magelang,Tidak,Foreman MCC at PT BPN,"Python, Power BI, Databases","Upskill, Networking, Switch Career",LinkedIn,Jawa Tengah,0
488,Kediri,Tidak,Guru Les,"Excel, SQL, Python, Power BI","Cari Kerja, Networking",Instagram,Jawa Timur,1
489,Klaten,Tidak,Admin,"Excel, SQL, Power BI, Tableau",Upskill,Instagram,Jawa Tengah,0
490,Rangkasbitung,Tidak,Jobseeker,"Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau","Cari Kerja, Upskill, Networking, Switch Career",Instagram,Banten,1
491,Malang,Tidak,"Staf Notaris Maria Margareta Tutut H, SH., MKn","Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau","Cari Kerja, Upskill, Networking, Switch Career",LinkedIn,Jawa Timur,1
492,Jakarta timur,Ya,UPN veteran yogyakarta,"Excel, Databases","Cari Kerja, Upskill",LinkedIn,Jakarta,1
493,Depok,Tidak,IRT ( Ex Customer Service),"Excel, SQL, Python",Switch Career,LinkedIn,Jawa Barat,0
494,DKI Jakarta,Tidak,PT Victoria Care Indonesia Tbk,"SQL, Python","Upskill, Networking",LinkedIn,Jakarta,0
495,DKI Jakarta ,Tidak,PT Victoria Care Indonesia Tbk,"Excel, SQL, Python","Upskill, Networking",LinkedIn,Jakarta,0
496,Medan,Ya,Mahasiswa,"Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau","Cari Kerja, Upskill, Networking",LinkedIn,Sumatera Utara,1
497,Bekasi,Ya,UPN Veteran Jakarta,"Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau","Cari Kerja, Upskill, Networking",LinkedIn,Jawa Barat,1
